,loss_values
236,1738.2744140625
237,1736.089111328125
238,1729.3895263671875
239,1758.3193359375
240,1744.0360107421875
241,1732.3673095703125
242,1724.5396728515625
243,1745.6573486328125
244,1729.4708251953125
245,1735.9827880859375
246,1733.6785888671875
247,1710.4652099609375
248,1749.7230224609375
249,1735.7252197265625
250,1740.7220458984375
251,1739.697998046875
252,1718.7955322265625
253,1724.186279296875
254,1723.548095703125
255,1715.383056640625
256,1720.6739501953125
257,1737.665771484375
258,1736.625
259,1735.261474609375
260,1733.052490234375
261,1719.5924072265625
262,1710.1185302734375
263,1727.6756591796875
264,1737.72705078125
265,1723.205322265625
266,1723.5977783203125
267,1725.898193359375
268,1732.7587890625
269,1725.5213623046875
270,1732.859375
271,1718.991455078125
272,1727.4068603515625
273,1717.887939453125
274,1719.758544921875
275,1715.9031982421875
276,1715.8974609375
277,1707.7940673828125
278,1730.5189208984375
279,1712.5172119140625
280,1714.4439697265625
281,1718.7938232421875
282,1723.3397216796875
283,1732.748779296875
284,1737.45166015625
285,1736.7061767578125
286,1709.46630859375
287,1715.482177734375
288,1722.020263671875
289,1727.6717529296875
290,1709.4429931640625
291,1716.2713623046875
292,1713.2252197265625
293,1720.42138671875
294,1703.2161865234375
295,1728.2257080078125
296,1700.240966796875
297,1718.4189453125
298,1724.1846923828125
299,1718.244140625
300,1713.4580078125
301,1713.8348388671875
302,1708.03515625
303,1715.2454833984375
304,1721.7581787109375
305,1723.7735595703125
306,1720.590576171875
307,1702.0484619140625
308,1722.97802734375
309,1717.1458740234375
310,1723.677734375
311,1719.2021484375
312,1729.7384033203125
313,1705.0299072265625
314,1710.05908203125
315,1712.5843505859375
316,1709.2364501953125
317,1708.873046875
318,1684.3685302734375
319,1694.6622314453125
320,1701.456787109375
321,1728.0784912109375
322,1714.387451171875
323,1712.364013671875
324,1717.6888427734375
325,1696.0621337890625
326,1710.9892578125
327,1707.4447021484375
328,1695.213134765625
329,1699.062744140625
330,1699.240234375
331,1703.275390625
332,1695.567626953125
333,1705.95361328125
334,1700.7374267578125
335,1702.0401611328125
336,1697.3734130859375
337,1691.0440673828125
338,1710.2852783203125
339,1719.3629150390625
340,1718.5452880859375
341,1695.379150390625
342,1706.1259765625
343,1701.3941650390625
344,1683.7974853515625
345,1695.861572265625
346,1706.3206787109375
347,1698.760009765625
348,1704.522705078125
349,1705.047119140625
350,1687.3682861328125
351,1698.50830078125
352,1691.2901611328125
353,1701.8026123046875
354,1693.645751953125
355,1696.9873046875
356,1707.8095703125
357,1695.905029296875
358,1710.28662109375
359,1699.4091796875
360,1697.6678466796875
361,1697.6929931640625
362,1714.5018310546875
363,1714.7000732421875
364,1702.6558837890625
365,1702.5980224609375
366,1701.8720703125
367,1695.989501953125
368,1670.882080078125
369,1681.8707275390625
370,1708.0343017578125
371,1703.5225830078125
372,1694.661865234375
373,1690.01611328125
374,1699.1087646484375
375,1699.3045654296875
