,loss_values
464,2939.00048828125
465,2959.084716796875
466,2940.58544921875
467,2936.473876953125
468,2947.345947265625
469,2932.362060546875
470,2942.6611328125
471,2954.303955078125
472,2936.55859375
473,2950.905029296875
474,2937.80126953125
475,2936.56884765625
476,2940.6904296875
477,2940.748046875
478,2939.72021484375
479,2957.639404296875
480,2946.886474609375
481,2936.66796875
482,2943.520263671875
483,2942.70947265625
484,2947.49951171875
485,2956.829833984375
486,2935.75390625
487,2929.6865234375
488,2935.935791015625
489,2933.86279296875
490,2932.16796875
491,2938.640625
492,2950.682373046875
493,2950.241943359375
494,2948.52783203125
495,2936.52197265625
496,2943.47314453125
497,2935.190185546875
498,2934.954833984375
499,2934.6787109375
500,2946.072509765625
501,2950.623046875
502,2945.308837890625
503,2945.821044921875
504,2947.792236328125
505,2937.5400390625
506,2940.817138671875
507,2948.494140625
508,2938.92626953125
509,2944.6064453125
510,2939.7802734375
511,2946.046875
512,2937.42919921875
513,2933.291259765625
514,2931.39794921875
515,2932.9990234375
516,2934.665283203125
517,2947.68408203125
518,2941.26416015625
519,2945.1455078125
520,2947.49267578125
521,2938.33056640625
522,2945.833984375
523,2940.204345703125
524,2940.861328125
525,2926.068359375
526,2942.274169921875
527,2937.174560546875
528,2937.243408203125
529,2944.818603515625
530,2939.06201171875
531,2938.59521484375
532,2942.351806640625
533,2940.359375
534,2935.672607421875
535,2937.535888671875
536,2935.911376953125
537,2934.961669921875
538,2940.612548828125
539,2933.650146484375
540,2928.267578125
541,2949.22216796875
542,2939.205322265625
543,2939.662109375
544,2934.939453125
545,2936.1533203125
546,2937.398193359375
547,2940.231689453125
548,2930.1279296875
549,2940.41064453125
550,2937.52294921875
551,2942.673828125
552,2939.540283203125
553,2940.90966796875
554,2932.275634765625
555,2936.453369140625
556,2947.047607421875
557,2926.87451171875
558,2938.34033203125
559,2932.747802734375
560,2938.60205078125
561,2926.02490234375
562,2926.943115234375
563,2940.875244140625
564,2932.66259765625
565,2938.373779296875
566,2939.602294921875
567,2924.864501953125
568,2941.997802734375
569,2942.066162109375
570,2940.593505859375
571,2947.793701171875
572,2922.167236328125
573,2933.336669921875
574,2936.04248046875
575,2938.992431640625
576,2938.83544921875
577,2933.940185546875
578,2943.3037109375
579,2934.575927734375
580,2938.463134765625
581,2934.752685546875
582,2932.906982421875
583,2938.255859375
584,2937.683349609375
585,2933.8232421875
586,2933.926513671875
587,2943.63916015625
588,2936.895751953125
589,2935.575439453125
590,2930.25390625
591,2916.090087890625
592,2939.350830078125
593,2928.802490234375
594,2933.948486328125
595,2932.578369140625
596,2929.9921875
597,2936.1435546875
598,2937.6064453125
599,2920.113525390625
600,2934.95947265625
601,2935.5927734375
602,2942.594970703125
603,2927.31103515625
604,2933.90966796875
605,2933.01416015625
606,2936.40185546875
607,2935.1025390625
608,2928.410400390625
609,2926.66943359375
610,2929.28466796875
611,2930.9150390625
612,2935.021484375
613,2918.25634765625
614,2941.033935546875
615,2926.17431640625
616,2929.63671875
617,2931.870361328125
618,2930.060791015625
619,2937.227294921875
620,2933.203369140625
621,2922.67236328125
622,2920.554443359375
623,2931.820068359375
624,2940.06005859375
625,2935.754638671875
626,2932.22998046875
627,2912.12255859375
628,2935.287109375
629,2939.3154296875
630,2932.548828125
631,2935.0537109375
632,2929.5673828125
633,2928.451904296875
634,2926.4892578125
635,2923.798828125
636,2930.033203125
637,2930.798095703125
638,2919.656982421875
639,2935.764892578125
640,2931.109619140625
641,2928.744140625
642,2929.306396484375
643,2943.426513671875
644,2924.966796875
645,2923.111572265625
646,2929.45849609375
647,2939.173828125
648,2915.959228515625
649,2926.76513671875
650,2914.700927734375
651,2930.744873046875
652,2928.4501953125
653,2923.58837890625
654,2935.186279296875
655,2932.1396484375
656,2929.396728515625
657,2924.4892578125
658,2929.64306640625
659,2929.330078125
660,2919.267333984375
661,2930.842041015625
662,2911.817138671875
663,2927.249755859375
664,2912.911376953125
665,2928.0244140625
666,2930.10498046875
667,2938.727783203125
668,2941.12158203125
669,2933.6220703125
670,2924.363037109375
671,2934.541259765625
672,2923.87158203125
673,2924.325439453125
674,2923.212890625
675,2921.6064453125
676,2935.901611328125
677,2923.288330078125
678,2929.536376953125
679,2915.80908203125
680,2919.534912109375
681,2921.15869140625
682,2936.68408203125
683,2925.65283203125
684,2925.30126953125
685,2929.264892578125
686,2921.032470703125
687,2942.54052734375
688,2925.412841796875
689,2930.223388671875
690,2925.31103515625
691,2920.591796875
692,2919.532958984375
693,2934.76513671875
694,2925.423583984375
695,2928.84716796875
696,2927.08203125
697,2932.30322265625
698,2916.103271484375
699,2930.333251953125
700,2916.96728515625
701,2927.66015625
702,2926.35302734375
703,2928.197265625
704,2932.73583984375
705,2921.387939453125
706,2929.201904296875
707,2919.680419921875
708,2922.226806640625
709,2925.730224609375
710,2920.2861328125
711,2925.26416015625
712,2929.52783203125
713,2922.21826171875
714,2922.868408203125
715,2924.96630859375
716,2921.40966796875
717,2923.8173828125
718,2921.872314453125
719,2920.97021484375
720,2925.6572265625
721,2917.748291015625
722,2915.28759765625
723,2927.4716796875
724,2924.136474609375
725,2918.640625
726,2921.645263671875
727,2928.55224609375
728,2924.735595703125
729,2934.983642578125
730,2934.048583984375
731,2918.451904296875
732,2923.115234375
733,2923.004638671875
734,2922.396728515625
735,2929.8056640625
736,2914.387451171875
737,2918.50244140625
738,2922.906005859375
739,2925.258544921875
740,2904.8017578125
741,2931.931640625
742,2920.8720703125
743,2923.734375
744,2915.501220703125
745,2918.220458984375
746,2908.8173828125
747,2910.985595703125
748,2932.486572265625
749,2911.920654296875
750,2914.33447265625
751,2915.575927734375
752,2920.421875
753,2940.46435546875
754,2916.668701171875
755,2924.376953125
756,2917.017333984375
757,2923.48388671875
758,2927.3291015625
759,2919.19384765625
760,2913.569580078125
761,2914.23486328125
762,2912.122802734375
763,2918.039794921875
764,2917.164306640625
765,2915.040283203125
766,2920.42578125
767,2912.63623046875
768,2916.90185546875
769,2918.1904296875
770,2929.87646484375
771,2913.673583984375
772,2918.0390625
773,2927.46826171875
774,2921.039794921875
775,2927.961181640625
776,2929.2451171875
777,2921.563720703125
778,2906.936767578125
779,2917.6328125
780,2913.46337890625
781,2915.11572265625
782,2917.824462890625
783,2916.68505859375
784,2921.8544921875
785,2911.952392578125
786,2918.89990234375
787,2925.498046875
788,2916.830078125
789,2910.974365234375
790,2922.590576171875
791,2924.92236328125
792,2928.686767578125
793,2922.258544921875
794,2922.364013671875
795,2917.723876953125
796,2919.722412109375
797,2905.925048828125
798,2914.973388671875
799,2910.315185546875
800,2922.259033203125
801,2914.816650390625
802,2908.4833984375
803,2928.21923828125
804,2921.327392578125
805,2931.92529296875
806,2916.3076171875
807,2919.988037109375
808,2911.05078125
809,2919.460693359375
810,2925.12646484375
811,2926.50341796875
812,2919.5478515625
813,2929.142822265625
814,2919.52490234375
815,2905.156005859375
816,2920.06005859375
817,2912.47021484375
818,2925.9697265625
819,2917.093505859375
820,2916.93115234375
821,2921.678466796875
822,2924.326416015625
823,2907.3857421875
824,2910.70458984375
825,2902.45166015625
826,2909.525390625
827,2931.817138671875
828,2903.295654296875
829,2927.83056640625
830,2915.605712890625
831,2921.05859375
832,2913.236083984375
833,2919.99853515625
834,2910.5693359375
835,2909.34765625
836,2923.620849609375
837,2921.298095703125
838,2915.921142578125
839,2911.40625
840,2920.47265625
841,2926.258544921875
842,2919.076416015625
843,2918.58935546875
844,2907.03515625
845,2900.341796875
846,2925.065185546875
847,2926.55615234375
848,2920.513427734375
849,2909.021240234375
850,2919.778076171875
851,2915.894775390625
852,2921.750244140625
853,2925.4951171875
854,2919.322021484375
855,2916.0361328125
856,2906.584228515625
857,2917.6328125
858,2911.840576171875
859,2912.861328125
860,2941.437255859375
861,2919.48486328125
862,2927.553466796875
863,2905.17236328125
864,2916.9892578125
865,2910.41455078125
866,2903.306396484375
867,2915.717529296875
868,2927.303466796875
869,2914.822265625
870,2903.377685546875
871,2920.0908203125
872,2907.939208984375
873,2910.40185546875
874,2907.004638671875
875,2910.22412109375
876,2930.54931640625
877,2916.727783203125
878,2908.958251953125
879,2911.283935546875
880,2905.85107421875
881,2899.192626953125
882,2907.2724609375
883,2919.93212890625
884,2909.62646484375
885,2913.803466796875
886,2915.174072265625
887,2910.72119140625
888,2915.137939453125
889,2917.697265625
890,2917.52734375
891,2900.529296875
892,2912.5361328125
893,2909.251708984375
894,2900.26904296875
895,2919.344482421875
896,2920.564697265625
897,2913.89111328125
898,2898.802734375
899,2914.655029296875
900,2915.77001953125
901,2914.09033203125
902,2921.378662109375
903,2905.109619140625
904,2915.716796875
905,2907.485595703125
906,2909.53662109375
907,2899.163818359375
908,2905.734375
909,2911.290283203125
910,2900.835693359375
911,2910.26318359375
912,2900.46533203125
913,2910.0478515625
914,2906.49658203125
915,2911.771728515625
